@relation weather
@attribute pm25 numeric
@attribute pm10 numeric
@attribute co numeric
@attribute no2 numeric
@attribute so2 numeric
@attribute temp numeric
@attribute humidity numeric
@attribute aqi numeric
@data
39.8,247.7,1.75,14.7,50.1,26.7,60.4,151
292.4,136.5,1.49,54.8,17.5,10.6,29.6,232
102.5,57.3,0.74,73.7,33.2,35.9,79.0,132
256.4,256.2,1.17,7.1,77.4,43.3,60.5,223
271.7,148.7,1.9,49.0,15.0,40.1,75.9,233
269.5,105.1,0.7,112.0,62.7,31.3,47.7,233
55.9,173.6,0.18,18.0,50.0,27.1,23.0,93
54.3,98.5,0.9,15.5,51.1,15.0,72.3,105
177.2,234.3,1.69,21.6,60.2,39.2,48.9,204
110.3,387.5,1.23,101.9,68.6,24.1,52.6,240
218.7,156.1,1.3,113.8,2.9,34.9,73.5,225
184.3,42.4,1.3,14.5,34.3,20.9,83.5,152
68.0,79.2,1.42,100.8,8.1,32.8,20.4,143
246.9,207.6,0.23,63.8,77.0,22.8,21.8,209
209.3,90.8,1.22,50.2,8.3,22.3,79.3,179
136.4,113.8,1.95,92.6,29.2,38.8,56.4,198
172.0,264.0,1.82,117.2,76.3,43.1,79.2,266
196.4,132.0,1.37,21.7,58.8,27.1,80.1,187
285.8,58.6,0.92,9.1,2.1,11.5,85.6,175
168.0,129.3,1.45,56.1,24.4,33.1,86.3,183
233.3,66.0,1.28,30.0,18.8,30.7,83.8,177
260.7,341.1,0.77,60.3,30.1,39.5,83.4,245
182.6,176.0,0.9,118.1,50.1,21.4,70.8,222
286.2,21.1,0.52,19.9,23.0,25.1,23.3,158
178.7,199.4,0.58,42.2,7.2,21.9,48.1,162
265.8,328.9,1.29,55.6,46.0,44.1,85.9,262
220.6,70.8,1.23,43.7,77.2,23.2,41.1,193
25.0,197.2,1.62,73.5,70.5,41.2,39.0,161
245.4,70.6,1.43,45.8,78.8,12.3,45.4,213
292.0,189.3,1.11,44.7,32.1,16.7,53.0,231
266.7,221.4,0.17,89.6,77.1,16.0,84.9,239
91.9,324.0,0.82,78.5,75.4,30.2,85.6,200
161.2,260.3,1.44,31.2,14.3,25.0,32.0,187
178.3,161.0,1.54,18.0,3.0,41.0,46.1,166
271.1,70.3,0.54,101.1,70.1,13.6,49.7,222
194.4,383.6,0.96,16.6,68.4,42.7,52.3,218
43.2,64.9,1.68,82.2,50.5,40.4,30.8,141
157.5,359.4,1.69,100.7,3.8,11.7,20.8,246
244.7,367.4,0.72,89.9,27.5,34.5,24.5,251
111.7,270.2,0.47,115.6,4.4,18.4,60.8,184
19.2,318.4,1.7,119.1,71.5,33.4,65.5,213
214.8,373.4,1.46,105.0,32.3,19.2,71.8,279
247.7,105.7,0.33,60.9,62.0,12.2,20.3,188
210.4,181.2,1.96,69.5,58.6,36.5,57.3,239
98.7,274.7,1.67,98.8,17.1,32.3,37.0,206
236.0,202.0,0.32,46.4,27.8,25.1,66.5,187
285.7,184.8,0.74,45.7,15.3,38.5,22.9,205
141.5,55.3,0.99,49.8,70.6,36.8,71.7,153
217.9,44.6,1.39,41.0,19.6,37.5,87.9,175
253.9,126.9,1.38,102.1,21.0,12.5,43.5,237
55.3,250.5,0.56,33.8,33.8,33.6,73.7,126
24.5,168.4,1.21,84.7,28.8,19.7,87.9,145
265.8,137.7,1.29,28.4,57.3,42.9,84.0,213
108.8,86.2,1.57,46.6,75.2,31.2,71.5,164
27.4,173.5,0.45,20.1,76.2,23.2,42.6,101
160.2,48.7,0.42,54.3,39.4,43.1,51.2,131
77.7,43.5,0.3,97.0,38.4,20.6,28.5,117
262.6,52.9,0.74,68.3,23.7,19.8,50.9,190
236.9,388.8,0.84,34.7,77.3,20.6,23.8,246
19.6,155.5,1.04,60.8,14.8,10.2,36.7,116
207.7,170.9,1.54,101.1,8.5,33.1,27.2,222
219.0,42.4,1.64,84.3,15.8,34.0,25.2,197
134.2,38.1,1.22,64.0,58.1,22.1,46.0,157
265.1,334.0,1.32,76.4,6.5,42.8,33.4,257
45.2,391.8,0.35,87.5,71.3,26.9,27.0,179
119.3,52.7,0.69,22.3,70.9,38.8,67.2,120
134.4,137.4,1.58,72.8,32.7,40.4,89.1,185
100.1,90.4,1.08,64.1,70.7,11.4,80.7,159
264.3,121.2,0.49,109.0,17.3,17.2,44.7,215
104.5,326.4,0.65,33.5,49.6,16.5,86.3,173
270.7,187.4,1.93,78.6,79.3,32.5,50.1,275
76.8,174.5,0.25,33.6,36.9,42.5,41.4,106
245.7,198.0,0.24,25.3,10.8,14.5,70.3,175
167.7,273.3,1.0,99.3,26.8,26.1,54.8,219
217.4,301.0,0.25,106.4,52.3,34.0,42.2,230
